company_id,date,directory_id,gran,measure_name,point_id,value,extractedAt,datetime
5505,2019-12-27,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,62006.66666666667,2020-01-02T00:25:24Z,2019-12-27 05:00:00
5505,2019-12-26,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,64408.33333333333,2020-01-02T00:25:24Z,2019-12-26 16:00:00
5505,2019-12-28,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,33081.666666666664,2020-01-02T00:25:24Z,2019-12-28 02:00:00
5505,2019-12-28,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,60485.83333333333,2020-01-02T00:25:24Z,2019-12-28 05:00:00
5505,2019-12-31,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,28510.0,2020-01-02T00:25:24Z,2019-12-31 20:00:00
5505,2019-12-31,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,66729.16666666667,2020-01-02T00:25:24Z,2019-12-31 15:00:00
5505,2019-12-27,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,30170.833333333332,2020-01-02T00:25:24Z,2019-12-27 21:00:00
5505,2019-12-23,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,65957.5,2020-01-02T00:25:24Z,2019-12-23 18:00:00
5505,2019-12-30,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,35103.33333333333,2020-01-02T00:25:24Z,2019-12-30 02:00:00
5505,2019-12-23,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,59216.66666666667,2020-01-02T00:25:24Z,2019-12-23 05:00:00
5505,2019-12-28,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,32424.166666666664,2020-01-02T00:25:24Z,2019-12-28 01:00:00
5505,2019-12-25,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,30591.666666666664,2020-01-02T00:25:24Z,2019-12-25 12:00:00
5505,2019-12-25,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,30975.0,2020-01-02T00:25:24Z,2019-12-25 04:00:00
5505,2019-12-27,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,63488.33333333333,2020-01-02T00:25:24Z,2019-12-27 07:00:00
5505,2019-12-23,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,37304.16666666667,2020-01-02T00:25:24Z,2019-12-23 01:00:00
5505,2019-12-27,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,62958.33333333333,2020-01-02T00:25:24Z,2019-12-27 06:00:00
5505,2019-12-26,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,33280.0,2020-01-02T00:25:24Z,2019-12-26 00:00:00
5505,2019-12-30,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,41666.66666666667,2020-01-02T00:25:24Z,2019-12-30 03:00:00
5505,2019-12-30,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,30485.833333333336,2020-01-02T00:25:24Z,2019-12-30 22:00:00
5505,2019-12-29,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,65994.54545454546,2020-01-02T00:25:24Z,2019-12-29 10:00:00
5505,2019-12-24,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,26000.0,2020-01-02T00:25:24Z,2019-12-24 22:00:00
5505,2019-12-28,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,64428.33333333333,2020-01-02T00:25:24Z,2019-12-28 07:00:00
5505,2019-12-25,4777208,H,virtual.energy.active.value,5cc32a5b346036000f8c6920,31794.166666666668,2020-01-02T00:25:24Z,2019-12-25 16:00:00
